tweet_ID Text Location Time_Stamp
1056696561793560577|#stockmarket #economics #China #tradewar #business #moneymanagement #finance #investmentsThe Stone Barrier~~~ Stoc https://t.co/Ec7bBVGbzi|Long Beach, California|Sun Oct 28 23:57:47 +0000 2018
1056686182422200321|RT @WillyWonkaXRP: Fed needs to calm down on the quantitative tightening (QT). They are spooking the stock market... Good thing I have a|🇺🇸|Sun Oct 28 23:16:32 +0000 2018
1056684623256788993|RT @xlm_usd: Open Bank Project collaborates with Red Hat to Deliver Next Generation Open Banking Solutions https://t.co/5OBYORSZ2a #BlockCh|Deutschland|Sun Oct 28 23:10:21 +0000 2018
1056681589617422337|RT @CeaWealth: Here is another point of view of market volatility and the opportunities it creates#Finance #Markets #StockMarket #News ht||Sun Oct 28 22:58:17 +0000 2018
1056676006550011904|RT @xlm_usd: SEC Approved Hyperion Exchange Agrees to Stellars Crypto Assets Trading Support. North Americas first security token exchang|World|Sun Oct 28 22:36:06 +0000 2018
1056675156049960960|Open Bank Project collaborates with Red Hat to Deliver Next Generation Open Banking Solutions https://t.co/EF5zKLoNNm|Washington, DC|Sun Oct 28 22:32:43 +0000 2018
1056672231642804226|RT @xlm_usd: IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLDS #1 HYBRID CLOUD PROVIDER#BlockChain #bi|North Carolina|Sun Oct 28 22:21:06 +0000 2018
1056671423824039940|RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking|World|Sun Oct 28 22:17:54 +0000 2018
1056670353894780928|RT @xlm_usd: IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLDS #1 HYBRID CLOUD PROVIDER#BlockChain #bi|Seattle, WA|Sun Oct 28 22:13:39 +0000 2018
1056669625121996801|IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLDS #1 HYBRID CLOUD PROVIDER https://t.co/y4ZEB4d315|Washington, DC|Sun Oct 28 22:10:45 +0000 2018
1056661369364332553|RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking||Sun Oct 28 21:37:56 +0000 2018
1056660533594783750|RT @xlm_usd: Ammbr Reveals Technology For Long-Range Wireless Connectivity Up To 5 Miles https://t.co/3Bllmf1LCi #BlockChain #bitcoin #Busi||Sun Oct 28 21:34:37 +0000 2018
1056660348814704640|RT @xlm_usd: Ammbr Partners with Global Blockchain for Network Development and Public Crowdsale on Singularity Exchange based on Laser &amp; St||Sun Oct 28 21:33:53 +0000 2018
1056659845527552000|RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking||Sun Oct 28 21:31:53 +0000 2018
1056659379448111104|RT @xlm_usd: North America's first advanced exchange for security tokens &amp; merging with Atari X2 Games, what's next Global Blockchain Techn||Sun Oct 28 21:30:02 +0000 2018
