Tweet ID,Text,Class
1056696561793560577,"#stockmarket #economics #China #tradewar #business #moneymanagement #finance #investments
The Stone Barrier~~~ Stoc… https://t.co/Ec7bBVGbzi",Finance
1056686182422200321,"RT @WillyWonkaXRP: Fed needs to calm down on the quantitative tightening (QT). They are spooking the stock market... 

Good thing I have a…",Finance
1056684623256788993,RT @xlm_usd: Open Bank Project collaborates with Red Hat to Deliver Next Generation Open Banking Solutions https://t.co/5OBYORSZ2a #BlockCh…,Finance
1056681589617422337,"RT @CeaWealth: Here is another point of view of market volatility and the opportunities it creates
#Finance #Markets #StockMarket #News 
ht…",Finance
1056676006550011904,RT @xlm_usd: SEC Approved Hyperion Exchange Agrees to Stellar’s Crypto Assets Trading Support. North America’s first security token exchang…,Finance
1056675156049960960,Open Bank Project collaborates with Red Hat to Deliver Next Generation Open Banking Solutions… https://t.co/EF5zKLoNNm,Finance
1056672231642804226,"RT @xlm_usd: IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLD’S #1 HYBRID CLOUD PROVIDER

#BlockChain #bi…",Finance
1056671423824039940,RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking…,Finance
1056670353894780928,"RT @xlm_usd: IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLD’S #1 HYBRID CLOUD PROVIDER

#BlockChain #bi…",Finance
1056669625121996801,"IBM TO ACQUIRE RED HAT, COMPLETELY CHANGING THE CLOUD LANDSCAPE AND BECOMING WORLD’S #1 HYBRID CLOUD PROVIDER… https://t.co/y4ZEB4d315",Finance
1056661369364332553,RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking…,Finance
1056660533594783750,RT @xlm_usd: Ammbr Reveals Technology For Long-Range Wireless Connectivity Up To 5 Miles https://t.co/3Bllmf1LCi #BlockChain #bitcoin #Busi…,Finance
1056660348814704640,RT @xlm_usd: Ammbr Partners with Global Blockchain for Network Development and Public Crowdsale on Singularity Exchange based on Laser &amp; St…,Finance
1056659845527552000,RT @xlm_usd: Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business #InvestmentBanking…,Finance
1056659379448111104,"RT @xlm_usd: North America's first advanced exchange for security tokens &amp; merging with Atari X2 Games, what's next Global Blockchain Techn…",Finance
1056658026243985408,Wow! IBM strikes deal to buy Red Hat for $34 billion https://t.co/7KhdQ8aaWr #BlockChain #bitcoin #Business… https://t.co/voR90akqHi,Finance
1056644826307985409,RT @xlm_usd: SEC Approved Hyperion Exchange Agrees to Stellar’s Crypto Assets Trading Support. North America’s first security token exchang…,Finance
1056643381642833920,RT @xlm_usd: SEC Approved Hyperion Exchange Agrees to Stellar’s Crypto Assets Trading Support. North America’s first security token exchang…,Finance
1056640546402418689,Has the stock market turmoil had an impact on your finances? Find out what is going on in our latest article.… https://t.co/SvSzXMRVXN,Finance
1056640536524791811,"RT @Filip67229896: TRADE IN THE MOMENT INVEST IN THE FUTURE: https://t.co/Qnw2EvM1IV

#crypto #cryptocurrency #bitcoin #btc #nem #xem #lite…",Finance
1056639728576094212,"#EURJPY
#forex #trading #technical #currency #trader #money #analysis #freedom #stock #fx #business #clean #charts… https://t.co/qBPT5zToZg",Finance
1056638766805368832,"RT @Filip67229896: TRADE IN THE MOMENT INVEST IN THE FUTURE: https://t.co/Qnw2EvM1IV

#crypto #cryptocurrency #bitcoin #btc #nem #xem #lite…",Finance
